OID_,OBJECTID,SCHID,NAME,ADDRESS,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,shape_wkt,POINT_X,POINT_Y
15,166.000000000000000,8027,Cathedral High,74 Union Park,Boston,BOSTON,MA,02118,Christol Murch,617-542-2325,617-542-1745,"9,10,11,12",PRI,POINT (-71.068847234999964 42.341101515000048),-71.068847234999964,42.341101515000048
16,1521.000000000000000,00350702,The Advent School,15 Brimmer Street,Boston,BOSTON,MA,02108,Nicole A. DuFauchard,617-742-0520,--,"K,1,2,3,4,5,6",PRI,POINT (-71.072044915999982 42.358347295000044),-71.072044915999982,42.358347295000044
17,186.000000000000000,8168,St John Elementary,9 Moon,Boston,BOSTON,MA,02113,Karen McLaughlin,617-227-3143,617-227-2188,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.052861385999961 42.363878617000069),-71.052861385999961,42.363878617000069
18,1128.000000000000000,00350705,Berea SDA Academy,800 Morton St.,Mattapan,BOSTON,MA,02126,Grafton Jones,617-436-8301,617-436-8304,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.087714390999963 42.282648553000058),-71.087714390999963,42.282648553000058
19,178.000000000000000,8081,Pope John Paul II Academy (Lower MIlls),2214 Dorchester Avenue,Dorchester,BOSTON,MA,02124,George Milot,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.067173723999986 42.274431979000042),-71.067173723999986,42.274431979000042
20,179.000000000000000,8064,Pope John Paul II Academy (Mattapan),120 Babson,Mattapan,BOSTON,MA,02126,Kathleen Aldridge,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.092221387999984 42.270758116000025),-71.092221387999984,42.270758116000025
21,180.000000000000000,8065,Pope John Paul II Academy (Neponset),239 Neponset Avenue,Dorchester,BOSTON,MA,02122,Kate Brandley,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.049520885999982 42.290439052000067),-71.049520885999982,42.290439052000067
22,182.000000000000000,8103,Saint Joseph Preparatory High School,617 Cambridge,Brighton,BOSTON,MA,02135,Tom Nunan,617-254-8383,617-254-0240,"9,10,11,12",PRI,POINT (-71.143855170999984 42.35235214800008),-71.143855170999984,42.352352148000080
23,183.000000000000000,8071,South Boston Catholic Academy,866 East Broadway,South Boston,BOSTON,MA,02127,Nancy Carr,617-268-2326,--,"PK,K,1,2,3,4,5",PRI,POINT (-71.029663313999947 42.336044074000029),-71.029663313999947,42.336044074000029
24,1523.000000000000000,00350724,Commonwealth School,151 Commonwealth Avenue,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI,POINT (-71.078102163999972 42.352322516000072),-71.078102163999972,42.352322516000072
25,1524.000000000000000,00350765,The Learning Project,107 Marlborough Street,Boston,BOSTON,MA,02115,Michael Mccord,617-266-8427,--,"K,1,2,3,4,5,6",PRI,POINT (-71.077245327999947 42.35350946300008),-71.077245327999947,42.353509463000080
26,1525.000000000000000,00350794,The Newman School,247 Marlborough Street,Boston,BOSTON,MA,02116,John Colahan,617-267-4530,617-267-7070,"9,10,11,12",PRI,POINT (-71.082399257999953 42.352081078000026),-71.082399257999953,42.352081078000026
27,169.000000000000000,8034,E Boston Central Catholic,69 London,East Boston,BOSTON,MA,02128,Maryann Manfredonia,617-567-7456,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.040060252999979 42.371528407000028),-71.040060252999979,42.371528407000028
28,1768.000000000000000,00350785,Neighborhood School,34 Peter Parley Rd,Jamaica Plain,BOSTON,MA,02130,Tricia Morrow,617-522-0880,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.100694397999973 42.310856341000033),-71.100694397999973,42.310856341000033
29,1770.000000000000000,00350882,St Mary Of Czestochowa,655 Dorchester Avenue,South Boston,BOSTON,MA,02127,Marie Laclaire,617-268-3766,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.057778311999982 42.327701340000033),-71.057778311999982,42.327701340000033
30,1771.000000000000000,00350812,Paige Academy,28 Highland Avenue,Roxbury,BOSTON,MA,02119,Angela Cook,617-445-6969,--,"PK,K,1",PRI,POINT (-71.093121008999958 42.328767011000025),-71.093121008999958,42.328767011000025
31,175.000000000000000,8588,Nativity Prep School,39 Lamartine Street,Jamaica Plain,BOSTON,MA,02130-0947,Dan Roy,857-728-0031,857-728-0037,"5,6,7,8",PRI,POINT (-71.101726808999956 42.321548245000031),-71.101726808999956,42.321548245000031
32,174.000000000000000,,Mission Grammar School,94 St Alphonsus,Roxbury,BOSTON,MA,02120,Aliece Dutson,617-442-2660,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.100889923999944 42.333130572000073),-71.100889923999944,42.333130572000073
33,181.000000000000000,8060,Sacred Heart Elementary,1035 Canterbury,Roslindale,BOSTON,MA,02131,Monica Haldiman,617-323-2500,617-325-7151,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.122280564999983 42.278304711000033),-71.122280564999983,42.278304711000033
34,185.000000000000000,8077,St Columbkille Elem,25 Arlington Street,Brighton,BOSTON,MA,02135,Mary Battles,617-254-3110,617-254-3161,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.152986833999933 42.352432789000034),-71.152986833999933,42.352432789000034
35,167.000000000000000,8028,Catholic Memorial,235 Baker Street,West Roxbury,BOSTON,MA,02132,Richard Chisholm,617-469-8000,617-325-0888,"7,8,9,10,11,12",PRI,POINT (-71.16578020299994 42.277692275000049),-71.165780202999940,42.277692275000049
36,1851.000000000000000,00350808,Roxbury Latin School,101 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,F Jarvis,617-325-4920,--,"7,8,9,10,11,12",PRI,POINT (-71.157087992999948 42.276116425000055),-71.157087992999948,42.276116425000055
37,1883.000000000000000,00350778,Mother Caroline Academy,515 Blue Hill Avenue,Dorchester,BOSTON,MA,02121,Frances Butler,617-427-1177,617-427-7788,"5,6,7,8",PRI,POINT (-71.084394347999933 42.307490489000031),-71.084394347999933,42.307490489000031
38,1885.000000000000000,00350740,Hollow Reed School,93 Sedgewick Street,Jamaica Plain,BOSTON,MA,02130,Khabria Brown,617-524-9004,--,"PK,K",PRI,POINT (-71.112024129999952 42.308233914000027),-71.112024129999952,42.308233914000027
39,1886.000000000000000,00350749,Italian Home For Children,1125 Centre Street,Jamaica Plain,BOSTON,MA,02130,Jane A Zopatti,617-524-3116,617-983-5372,"1,2,3,4,5,6,7,8",SPE,POINT (-71.126641301999939 42.302295044000061),-71.126641301999939,42.302295044000061
40,1887.000000000000000,00350947,Parkside Christian Academy,670 Washington Street,Dorchester,BOSTON,MA,02124,John Mallory,617-522-1841,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.070940377999989 42.288333824000063),-71.070940377999989,42.288333824000063
41,1888.000000000000000,00350795,New Beginnings Academy,20 Central Ave,Hyde Park,BOSTON,MA,02136,Cynthia Schroder,617-364-6767,617-364-3383,"PK,K,1,2,3,4,5,6,10,12",PRI,POINT (-71.121912357999975 42.257286432000058),-71.121912357999975,42.257286432000058
42,2246.000000000000000,00350805,Park Street School,67 Brimmer Street,Boston,BOSTON,MA,02108,Tracy Bradley,617-523-7577,617-523-7576,"K,1,2,3,4,7",PRI,POINT (-71.071715452999968 42.356395500000076),-71.071715452999968,42.356395500000076
43,2304.000000000000000,00350768,Manville School,53 Parker Hill Ave,Boston,BOSTON,MA,02120,Hanna Savransky,617-232-8390,617-232-8399,"1,2,3,4,5,6,7,8,9,10,11",SPE,POINT (-71.110049215999936 42.330970182000044),-71.110049215999936,42.330970182000044
44,168.000000000000000,8024,Cristo Rey Boston High School,100 Savin Hill Avenue,Dorchester,BOSTON,MA,02125,Elizabeth Degnan,617-825-2580,617-825-2613,"9,10,11,12",PRI,POINT (-71.053930034999951 42.312305683000034),-71.053930034999951,42.312305683000034
45,1939.000000000000000,00350811,Shaloh House Jewish Day School,29 Chestnut Hill Avenue,Brighton,BOSTON,MA,02135,Don Rodkin,617-787-2200,617-787-4693,"PK,K,1,2,3,4",PRI,POINT (-71.154297711999959 42.347875610000074),-71.154297711999959,42.347875610000074
46,172.000000000000000,8037,Holy Name Elementary,535 W Roxbury Pkwy,West Roxbury,BOSTON,MA,02132,Robert Arciero,617-325-9338,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.148452043999953 42.288061022000079),-71.148452043999953,42.288061022000079
47,1943.000000000000000,00350824,St Anne Elementary,20 Como Rd,Hyde Park,BOSTON,MA,02136,Jane Trumpis,617-361-3563,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.136978420999981 42.240133606000029),-71.136978420999981,42.240133606000029
48,188.000000000000000,8096,St Theresa Elementary,40 St Theresa Avenue,West Roxbury,BOSTON,MA,02132,Virginia Kelleher,617-323-1050,617-323-8118,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.157943623999984 42.278295454000045),-71.157943623999984,42.278295454000045
49,184.000000000000000,8070,St Brendan Elementary,29 Rita Rd,Dorchester,BOSTON,MA,02124,Ida Ring,617-282-3388,--,"K,1,2,3,4,5,6,7,8",PRI,POINT (-71.051244738999969 42.281909739000071),-71.051244738999969,42.281909739000071
50,2382.000000000000000,00350890,St Peter Academy,518 E Sixth Street,South Boston,BOSTON,MA,02127,David Romanosky,617-268-0750,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.039699600999938 42.333215541000072),-71.039699600999938,42.333215541000072
51,2385.000000000000000,00350809,Seaport Campus School,197 Eighth Street,Charlestown,BOSTON,MA,02129,Alex Christos Tsonas,617-241-3871,617-241-7452,"8,9,10,11,12",SPE,POINT (-71.050273766999965 42.375695892000067),-71.050273766999965,42.375695892000067
52,2389.000000000000000,00350729,Epiphany School,154 Centre Street,Dorchester,BOSTON,MA,02124,John Finley,617-326-0425,617-326-0424,"5,6,7,8",PRI,POINT (-71.066136870999969 42.292556058000059),-71.066136870999969,42.292556058000059
53,2426.000000000000000,00350760,The Kingsley Montessori School,30 Fairfield Street,Boston,BOSTON,MA,02116,Carole Forbes,617-226-4900,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.082218462999947 42.350289923000048),-71.082218462999947,42.350289923000048
54,2427.000000000000000,00350910,The Winsor School,103 Pilgrim Rd,Boston,BOSTON,MA,02215,Carolyn McClintock,617-735-9500,--,"5,6,7,8,9,10,11,12",PRI,POINT (-71.10754658999997 42.341022885000029),-71.107546589999970,42.341022885000029
55,2445.000000000000000,00350813,Boston University Academy,1 University Road,Boston,BOSTON,MA,02215,James Berkman,617-353-9000,617-353-8999,"9,10,11,12",PRI,POINT (-71.109790913999973 42.351020237000057),-71.109790913999973,42.351020237000057
56,2517.000000000000000,00350758,Kennedy Day School,"30 Warren St, c/o Franciscan Childrens Hospital",Brighton,BOSTON,MA,02135,Bonnie Paulino Lanen,617-254-3800,617-779-1639,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12",SPE,POINT (-71.142544566999959 42.349972278000052),-71.142544566999959,42.349972278000052
57,165.000000000000000,8023,Boston College High,150 Morrissey Blvd,Dorchester,BOSTON,MA,02125,Stephen Hughes,617-474-5010,617-474-5015,"9,10,11,12",PRI,POINT (-71.045640899999967 42.316734466000071),-71.045640899999967,42.316734466000071
58,2744.000000000000000,00460865,Boston Trinity Academy,17 Hale St.,Boston,BOSTON,MA,02136,Timothy Wiens,617-364-3700,617-364-3800,"6,7,8,9,10,11,12",PRI,POINT (-71.128686450999965 42.259230425000055),-71.128686450999965,42.259230425000055
59,2745.000000000000000,00490855,German International School Boston,57 Holton Street,Allston,BOSTON,MA,02134,Christian Nitschke,617-783-2600,617-783-2605,"PK,K,1,2,3,4,5,6,7",PRI,POINT (-71.136105089999944 42.360401160000038),-71.136105089999944,42.360401160000038
60,177.000000000000000,8089,Pope John Paul II Academy (Columbia Road),790 Columbia Road,Dorchester,BOSTON,MA,02125,Claire Sheridan,617-265-0019,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.058004383999958 42.320549471000049),-71.058004383999958,42.320549471000049
61,141.000000000000000,5100,City On A Hill Charter Public School - Circuit Street,58 Circuit Street,Roxbury,BOSTON,MA,02119,Cristin Berry,617-445-1515,617-445-9153,"9,10,11,12",CHA,POINT (-71.087635772999988 42.324016708000045),-71.087635772999988,42.324016708000045
62,2761.000000000000000,00350872,St Matthew Elementary,33 Stanton Street,Dorchester,BOSTON,MA,02124,Mary Lanata,617-825-7955,--,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.080191924999951 42.284915977000026),-71.080191924999951,42.284915977000026
63,2764.000000000000000,00350791,The Knight Children's Center,161 South Huntington Ave,Jamaica Plain,BOSTON,MA,02130,Pamela M Nolan,617-264-5349,617-232-7925,"2,3,4,5,6,7,8,9",SPE,POINT (-71.111677275999966 42.327041476000034),-71.111677275999966,42.327041476000034
64,2767.000000000000000,00350720,Children's Learning Center,7 Murray Hill Rd.,Roslindale,BOSTON,MA,02131,Francis Campbell,617-327-2538,--,"PK,K,1,2,3,4,5,6",PRI,POINT (-71.126699192999979 42.287267935000045),-71.126699192999979,42.287267935000045
65,135.000000000000000,5501,Boston Collegiate Charter School (Lower School),215 Sydney Street,Dorchester,BOSTON,MA,02125, , , , ,CHA,POINT (-71.052416980999965 42.318818718000045),-71.052416980999965,42.318818718000045
66,156.000000000000000,5432,MATCH Charter Community Day School,100 Poydras Street,Mattapan,BOSTON,MA,02126, ,617-983-0300 ,617-983-0332,"PK, K, 1, 2, 3, 4",CHA,POINT (-71.106681229999936 42.261633935000077),-71.106681229999936,42.261633935000077
67,155.000000000000000,5480,KIPP Academy Boston - Middle School,384 Warren Street,Roxbury,BOSTON,MA,02119,Emily Hepler,617-238-7300,617-652-7461,"5,6,7,8",CHA,POINT (-71.081832731999953 42.317898780000064),-71.081832731999953,42.317898780000064
68,158.000000000000000,5430,MATCH Charter Public Middle School,215 Forest Hills St.,Jamaica Plain,BOSTON,MA,02130, ,857-203-9668,857-203-9666,"5,6,7,8",CHA,POINT (-71.103766766999968 42.305104118000031),-71.103766766999968,42.305104118000031
69,140.000000000000000,5540,Bridge Boston Charter School (K1-1),2 McLellan Street,Dorchester,BOSTON,MA,02121, , , ,"K, 1",CHA,POINT (-71.085440585999947 42.301195969000048),-71.085440585999947,42.301195969000048
70,148.000000000000000,5451,Edward Brooke Charter School - Mattapan,150 American Legion Highway,Dorchester,BOSTON,MA,02124, , , , ,CHA,POINT (-71.092494844999976 42.294821102000071),-71.092494844999976,42.294821102000071
71,146.000000000000000,5530,Dorchester Collegiate Academy,131 Hancock St.,Dorchester,BOSTON,MA,02125,Donna Green-Ford,617-379-3029, , ,CHA,POINT (-71.063395008999976 42.311304465000035),-71.063395008999976,42.311304465000035
72,160.000000000000000,5302,Roxbury Prep - Dorchester,206 Magnolia St.,Dorchester,BOSTON,MA,02121,Dana Lehman,617-858-2300,617-275-5760,"6,7,8",CHA,POINT (-71.073648935999984 42.311359620000076),-71.073648935999984,42.311359620000076
73,147.000000000000000,5452,Edward Brooke Charter School - East Boston,94 Horace Street,East Boston,BOSTON,MA,02128, , , , ,CHA,POINT (-71.016236686999946 42.382725273000062),-71.016236686999946,42.382725273000062
74,152.000000000000000,5491,Excel Academy Charter School - Orient Heights,1150 Saratoga St.,East Boston,BOSTON,MA,02124, , , , ,CHA,POINT (-70.999451970999985 42.384359607000079),-70.999451970999985,42.384359607000079
75,142.000000000000000,5101,City On A Hill Charter Public School - Dudley Square,2181 Washington Street,Roxbury,BOSTON,MA,02119,Sonya Pratt,617-516-5888,617-445-9153,"9,10,11,12",CHA,POINT (-71.082702185999949 42.331610265000052),-71.082702185999949,42.331610265000052
76,145.000000000000000,5200,Conservatory Lab Charter School - Dorchester,2120 Dorchester Avenue,Dorchester,BOSTON,MA,02124,Robyn Pretlow,617-254-8904,617-254-8909,"3, 4, 5, 6, 7, 8",CHA,POINT (-71.065980524999986 42.276868573000058),-71.065980524999986,42.276868573000058
77,162.000000000000000,5301,Roxbury Prep - Lucy Stone,22 Regina Road,Dorchester,BOSTON,MA,02124,Dana Lehman,617-979-0115,617-822-7527,"6,7,8",CHA,POINT (-71.070837038999969 42.295549510000058),-71.070837038999969,42.295549510000058
78,164.000000000000000,5800,Youth Build Boston,27 Centre Street,Roxbury,BOSTON,MA,02119, , , , ,CHA,POINT (-71.093132138999977 42.329816943000026),-71.093132138999977,42.329816943000026
79,139.000000000000000,5541,Bridge Boston Charter School (2-4),18 Samoset Street,Dorchester,BOSTON,MA,02124, , , ," 2, 3, 4",CHA,POINT (-71.064182258999949 42.291476454000076),-71.064182258999949,42.291476454000076
80,150.000000000000000,5492,Excel Academy Charter High School,7 Elkins Street,South Boston,BOSTON,MA,02127,Nina Keough,617-874-4143,--,"9, 10, 11, 12",CHA,POINT (-71.035815008999975 42.339260036000042),-71.035815008999975,42.339260036000042
81,154.000000000000000,5481,KIPP Academy Boston - Elementary School,6 Tchapitoulas Street,Mattapan,BOSTON,MA,02126,Emily Hepler,617-238-7300,617-652-7461,"K,1,2,3,4",CHA,POINT (-71.105527666999933 42.261349101000064),-71.105527666999933,42.261349101000064
82,161.000000000000000,5303,Roxbury Prep - High School,86 Wachusett Street,Jamaica Plain,BOSTON,MA,02130,Shradha m Patel,--,--,"9,10,11,12",CHA,POINT (-71.114540491999946 42.295058414000039),-71.114540491999946,42.295058414000039
83,170.000000000000000,8662,Elizabeth Seton Academy,2220 Dorchester Ave,Dorchester,BOSTON,MA,02124,Patricia Leitsinger,617-296-1087,--,"9,10,11,12",PRI,POINT (-71.066839628999958 42.274866460000055),-71.066839628999958,42.274866460000055
84,171.000000000000000,,Good Shepherd School,20 Winthrop Street,Charlestown,BOSTON,MA,02129,Nicolette Clifford,617-242-8800,617-242-0016,PK,PRI,POINT (-71.061589776999938 42.373785102000056),-71.061589776999938,42.373785102000056
85,173.000000000000000,,Julie's Family Learning Program,133 Dorchester Street,South Boston,BOSTON,MA,02127,Robert Monahan,617-269-6663,--,"PK, K",PRI,POINT (-71.047232252999947 42.334927785000048),-71.047232252999947,42.334927785000048
86,176.000000000000000,8642,Notre Dame Montessori,265 Mt. Vernon Street,Dorchester,BOSTON,MA,02125, ,--,--, ,PRI,POINT (-71.046258126999987 42.31879269600006),-71.046258126999987,42.318792696000060
87,187.000000000000000,8337,St Patrick Elementary,131 Mt. Pleasant Ave,Roxbury,BOSTON,MA,02119,Mary Lanata,617-427-3881,617-427-4529,"PK,K,1,2,3,4,5,6,7,8",PRI,POINT (-71.076221757999974 42.324911816000053),-71.076221757999974,42.324911816000053
